,IRUC,L,K,T,VP,year
138,00000010337,0.0,0.0,14468645.0,1265592166.0,2016
139,00000010339,593.0,0.0,-11500419.0,346815087.0,2016
140,00000010346,0.0,99470.0,1661209.0,33112504.0,2016
141,00000010353,581.0,0.0,-2521430.0,160235920.0,2016
142,00000010356,0.0,393878.0,16678587.0,213350055.0,2016
143,00000010374,68.0,0.0,891132.0,8541997.0,2016
144,00000010383,0.0,188018.0,80032.0,152583216.0,2016
145,00000010392,0.0,0.0,-3503542.0,35651543.0,2016
146,00000010398,0.0,428029.0,1231812.0,29483838.0,2016
147,00000010407,150.0,72646.0,1603214.0,18666600.0,2016
148,00000010408,0.0,0.0,793307.0,8069531.0,2016
149,00000010415,0.0,2043404.0,-673295.0,56652587.0,2016
150,00000010416,12.0,0.0,780915.0,21439150.0,2016
151,00000010418,0.0,0.0,482420.0,23315326.0,2016
152,00000010420,110.0,1565669.0,2267258.0,28195388.0,2016
153,00000010422,51.0,223995.0,581566.0,10309852.0,2016
154,00000010432,244.0,2069490.0,8084637.0,634113564.0,2016
155,00000010447,0.0,0.0,882824.0,32497624.0,2016
156,00000010448,38.0,0.0,520542.0,9394357.0,2016
157,00000010453,0.0,0.0,884193.0,11503128.0,2016
158,00000010460,0.0,0.0,1131337.0,12991577.0,2016
159,00000010468,1766.0,2315512.0,5471405.0,67682590.0,2016
160,00000010470,73.0,230406.0,1165669.0,18931754.0,2016
161,00000010471,0.0,0.0,1465814.0,53401839.0,2016
162,00000010472,0.0,563404.0,987888.0,23898507.0,2016
163,00000010474,114.0,0.0,135130.0,22871871.0,2016
164,00000010475,0.0,0.0,290334.0,7641458.0,2016
165,00000010481,0.0,515527.0,298130.0,14775215.0,2016
166,00000010482,225.0,0.0,3281265.0,41853794.0,2016
167,00000010483,14.0,0.0,515384.0,7914426.0,2016
168,00000010485,22.0,0.0,221598.0,9045181.0,2016
169,00000010489,0.0,0.0,2372304.0,47539887.0,2016
170,00000010490,0.0,190992.0,1146521.0,12505135.0,2016
171,00000010494,59.0,0.0,605515.0,6891393.0,2016
172,00000010495,0.0,2262995.0,5857257.0,148607403.0,2016
173,00000010498,0.0,0.0,53609.0,7469108.0,2016
174,00000010505,0.0,44859.0,946809.0,11439502.0,2016
175,00000010517,0.0,100193.0,1546981.0,17696800.0,2016
176,00000010518,0.0,371698.0,1046744.0,17357833.0,2016
177,00000010524,0.0,0.0,3061432.0,28313282.0,2016
178,00000010525,314.0,1095965.0,-393971.0,151986707.0,2016
179,00000010530,0.0,0.0,842696.0,17483647.0,2016
180,00000010531,0.0,0.0,1273031.0,12660694.0,2016
181,00000010544,3.0,785973.0,1287653.0,29554079.0,2016
182,00000010549,0.0,0.0,563888.0,7851854.0,2016
183,00000010562,0.0,1444204.0,6582679.0,149438283.0,2016
184,00000010563,2.0,295358.0,436428.0,9810467.0,2016
185,00000010571,9.0,199533.0,422084.0,7374411.0,2016
186,00000010603,0.0,0.0,1157638.0,22160056.0,2016
187,00000010604,64.0,2134126.0,3319183.0,59097671.0,2016
188,00000010618,59.0,0.0,700818.0,25401456.0,2016
189,00000010629,0.0,0.0,950435.0,18921302.0,2016
190,00000010635,22.0,370206.0,734136.0,19719647.0,2016
191,00000010650,0.0,0.0,-158554.0,17590917.0,2016
192,00000010651,51.0,0.0,2932683.0,27603001.0,2016
193,00000010656,231.0,153686.0,2658277.0,91283301.0,2016
194,00000010675,38.0,134445.0,856556.0,26850786.0,2016
195,00000010680,44.0,331078.0,595503.0,10618311.0,2016
196,00000010685,0.0,108422.0,-1804835.0,26073826.0,2016
197,00000010690,192.0,0.0,1833271.0,29477527.0,2016
198,00000010697,0.0,0.0,712761.0,6629284.0,2016
199,00000010712,0.0,0.0,494674.0,8794501.0,2016
200,00000010715,10.0,65393.0,1483628.0,25227739.0,2016
201,00000010726,0.0,0.0,1473653.0,30041814.0,2016
202,00000010727,0.0,539847.0,432254.0,40549819.0,2016
203,00000010752,0.0,279594.0,1015570.0,21116542.0,2016
204,00000010756,400.0,0.0,-1086232.0,80835213.0,2016
205,00000010770,0.0,497989.0,807501.0,9623201.0,2016
206,00000010785,36.0,110538.0,-366703.0,15892592.0,2016
207,00000010793,52.0,377774.0,9978.0,33898189.0,2016
208,00000010795,406.0,1133400.0,7765412.0,150050614.0,2016
209,00000010804,22.0,91685.0,284048.0,9749251.0,2016
210,00000010806,27.0,132188.0,113923.0,29239339.0,2016
211,00000010818,78.0,128997.0,915553.0,8411739.0,2016
212,00000010821,0.0,197681.0,1165621.0,15589535.0,2016
213,00000010825,58.0,804667.0,2384719.0,43076997.0,2016
214,00000010826,26.0,0.0,-82460.0,8589225.0,2016
215,00000010837,107.0,0.0,1671744.0,25570827.0,2016
216,00000010865,122.0,214565.0,-225256.0,54486500.0,2016
217,00000010866,0.0,0.0,-2267614.0,156762761.0,2016
218,00000010867,0.0,0.0,-61653.0,21409452.0,2016
219,00000010873,86.0,0.0,1073466.0,62217103.0,2016
220,00000010907,20.0,2046945.0,35278.0,19088320.0,2016
221,00000010936,124.0,50523.0,1663828.0,36818553.0,2016
222,00000010957,0.0,0.0,4494788.0,109496202.0,2016
223,00000011047,27.0,0.0,2697637.0,23722242.0,2016
224,00000011050,523.0,8094672.0,134664512.0,4107919881.0,2016
225,00000011052,0.0,11727000.0,-16686053.0,607644000.0,2016
226,00000011072,36.0,173288.0,1825358.0,13137238.0,2016
227,00000011129,0.0,0.0,2487018.0,19459822.0,2016
228,00000011136,601.0,590513.0,12104156.0,235655668.0,2016
229,00000011143,0.0,223529.0,6275313.0,44152032.0,2016
230,00000011176,0.0,0.0,781939.0,14347292.0,2016
231,00000011177,32.0,0.0,1697536.0,31772011.0,2016
232,00000011184,7.0,174998.0,4746518.0,58596669.0,2016
233,00000011204,0.0,0.0,23732.0,125671597.0,2016
234,00000011218,0.0,0.0,-807172.0,10278118.0,2016
235,00000011221,0.0,419643.0,-683958.0,21528151.0,2016
236,00000011237,101.0,0.0,763804.0,15336806.0,2016
237,00000011239,17.0,314426.0,548729.0,7611848.0,2016
238,00000011257,0.0,295605.0,702202.0,21549880.0,2016
239,00000011265,0.0,0.0,430253.0,20762150.0,2016
240,00000011280,0.0,100217.0,727186.0,11483304.0,2016
241,00000011293,0.0,0.0,3550701.0,40422742.0,2016
242,00000011294,21.0,0.0,673758.0,12383052.0,2016
243,00000011296,0.0,0.0,1323902.0,31551755.0,2016
244,00000011307,0.0,506956.0,-22206515.0,172526544.0,2016
245,00000011325,212.0,275939.0,1872567.0,25596405.0,2016
246,00000011332,0.0,171259.0,408012.0,8710381.0,2016
247,00000011341,0.0,2912211.0,9654712.0,96594260.0,2016
248,00000011363,69.0,0.0,246266.0,10843687.0,2016
249,00000011368,64.0,0.0,1037545.0,14229912.0,2016
250,00000011376,0.0,0.0,272716.0,8417093.0,2016
251,00000011399,44.0,210140.0,1038176.0,16035701.0,2016
252,00000011403,281.0,313956.0,-2808601.0,27110660.0,2016
253,00000011411,62.0,224313.0,1392870.0,30259931.0,2016
254,00000011415,0.0,167858.0,488632.0,8275820.0,2016
255,00000011417,0.0,0.0,-1108366.0,6298769.0,2016
256,00000011419,0.0,0.0,327907.0,7567840.0,2016
257,00000011420,31.0,0.0,586078.0,10631402.0,2016
258,00000011423,94.0,734159.0,3758649.0,49705223.0,2016
259,00000011430,0.0,0.0,-9518601.0,144852359.0,2016
260,00000011432,0.0,385471.0,695496.0,19474976.0,2016
261,00000011437,0.0,0.0,780045.0,11353313.0,2016
262,00000011444,0.0,0.0,1125543.0,10320261.0,2016
263,00000011448,143.0,0.0,1079528.0,12415745.0,2016
264,00000011453,0.0,56702.0,2059800.0,25816602.0,2016
265,00000011460,214.0,194105.0,6747065.0,164031962.0,2016
266,00000011466,0.0,0.0,454557.0,6673942.0,2016
267,00000011489,0.0,0.0,500355.0,8047575.0,2016
268,00000011519,109.0,0.0,1678232.0,115276661.0,2016
269,00000011565,0.0,0.0,332368.0,11673606.0,2016
270,00000011580,356.0,344570.0,-3138243.0,31212265.0,2016
271,00000011594,0.0,0.0,-4505848.0,30907259.0,2016
272,00000011604,0.0,0.0,365659.0,9383084.0,2016
273,00000011609,0.0,0.0,2492673.0,24114665.0,2016
274,00000011624,0.0,0.0,790263.0,9331776.0,2016
275,00000011633,332.0,0.0,2557843.0,96877108.0,2016
276,00000011639,0.0,0.0,-78302.0,46231315.0,2016
277,00000011640,0.0,126556.0,1958367.0,23854332.0,2016
278,00000011648,204.0,0.0,1938785.0,22679448.0,2016
279,00000011661,203.0,231017.0,1240465.0,23721236.0,2016
280,00000011663,38.0,0.0,1050245.0,27572372.0,2016
281,00000011687,0.0,0.0,790898.0,12977823.0,2016
282,00000011704,176.0,0.0,-1783554.0,47466791.0,2016
283,00000011759,51.0,165014.0,1970922.0,19952518.0,2016
284,00000011885,32.0,0.0,827892.0,19713433.0,2016
285,00000011887,0.0,1018185.0,-6909444.0,176255948.0,2016
286,00000011888,0.0,681287.0,8771298.0,99802752.0,2016
287,00000011893,0.0,0.0,-183188.0,156932644.0,2016
288,00000011896,0.0,169279.0,1065059.0,31303169.0,2016
289,00000011958,0.0,0.0,251678.0,9128712.0,2016
290,00000011970,0.0,0.0,643381.0,8068078.0,2016
291,00000011979,19.0,182968.0,1677609.0,19183833.0,2016
292,00000011981,69.0,0.0,515051.0,6947960.0,2016
293,00000011985,0.0,351387.0,22514792.0,192100962.0,2016
294,00000012000,28.0,0.0,13884554.0,136730756.0,2016
295,00000012060,0.0,375021.0,2840585.0,31875036.0,2016
296,00000012063,14.0,0.0,-80243.0,15786287.0,2016
297,00000012090,0.0,504299.0,298111.0,7765515.0,2016
298,00000012099,139.0,0.0,446199.0,36902085.0,2016
299,00000012110,0.0,0.0,489763.0,10622854.0,2016
300,00000012125,27.0,134757.0,265895.0,5368117.0,2016
301,00000012141,0.0,2294459.0,492335.0,10438525.0,2016
302,00000012149,0.0,678343.0,1810869.0,19302355.0,2016
303,00000012167,0.0,0.0,330163.76,8572642.0,2016
304,00000012181,0.0,0.0,654101.0,6739512.0,2016
305,00000012189,0.0,0.0,1447624.0,26731108.0,2016
306,00000012199,0.0,0.0,1475264.0,25048873.0,2016
307,00000012218,1.0,68233.0,85439.0,25359425.0,2016
308,00000012236,0.0,0.0,11161332.0,193328115.0,2016
309,00000012263,0.0,218923.0,282869.0,23143333.0,2016
310,00000012292,0.0,0.0,169580.0,6579605.0,2016
311,00000012301,96.0,158949.0,849504.0,27624306.0,2016
312,00000012395,198.0,0.0,2823676.0,43537357.0,2016
313,00000012402,0.0,1000249.0,-11222963.0,95966897.0,2016
314,00000012436,32.0,0.0,3004736.0,43633612.0,2016
315,00000012487,0.0,0.0,45925.0,53467362.0,2016
316,00000012568,81.0,0.0,5551948.0,210012309.0,2016
317,00000012680,0.0,0.0,1207886.0,38239629.0,2016
318,00000012693,15.0,130901.0,757428.0,12236797.0,2016
319,00000012726,42.0,0.0,1930398.0,21648153.0,2016
320,00000012856,222.0,0.0,4469145.0,107584423.0,2016
321,00000012890,0.0,349038.0,2861235.0,18249839.0,2016
322,00000012927,0.0,301957.0,390704.0,9694115.0,2016
323,00000012943,0.0,545316.0,-3900164.0,68625062.0,2016
324,00000012944,0.0,321427.0,1305832.0,82064683.0,2016
325,00000012946,0.0,0.0,107633.0,7739882.0,2016
326,00000012953,0.0,270130.0,1047310.0,7529163.0,2016
327,00000012968,4.0,0.0,-1645150.0,14081836.0,2016
328,00000012970,0.0,205497.0,400615.0,7071382.0,2016
329,00000012987,0.0,425936.0,-3091211.0,44567352.0,2016
330,00000012988,0.0,46622.0,517140.0,7048412.0,2016
331,00000012990,0.0,0.0,3807980.0,41714965.0,2016
332,00000012994,0.0,70711.0,3550731.0,46099291.0,2016
333,00000013003,41.0,0.0,575126.0,11940093.0,2016
334,00000013012,0.0,237660.0,698203.0,12168060.0,2016
